item_code,dimension,facet,include_in_main_scale,reverse_scored,item_text,rating
A1,Aufmerksamkeitsarchitektur,Fokusdauer,TRUE,FALSE,"Ich kann beim Lernen meist 45 Minuten oder länger bei einer Aufgabe bleiben, ohne die Konzentration deutlich zu verlieren.",5
A2,Aufmerksamkeitsarchitektur,Distraktibilität,TRUE,TRUE,Ich werde durch kleine Geräusche oder Bewegungen im Raum schnell aus dem Konzept gebracht.,4
A3,Aufmerksamkeitsarchitektur,Wiedereinstieg,TRUE,FALSE,Nach einer Unterbrechung finde ich rasch wieder in die Aufgabe zurück.,3
A4,Aufmerksamkeitsarchitektur,Arbeitsstil_Sequenziell,TRUE,FALSE,Ich arbeite lieber nacheinander an Aufgaben als zwischen mehreren Aufgaben hin- und herzuwechseln.,5
A5,Aufmerksamkeitsarchitektur,Task_Switching_Energie,TRUE,TRUE,"Wenn ich häufig zwischen Aufgaben wechseln muss, kostet mich das spürbar Energie.",5
A6,Aufmerksamkeitsarchitektur,Pausenplanung,TRUE,FALSE,Ich plane meine Pausen beim Lernen bewusst ein.,5
A7,Aufmerksamkeitsarchitektur,Flow_Neigung,TRUE,FALSE,"Wenn ich einmal im Flow bin, vergesse ich leicht die Zeit.",5
A8,Aufmerksamkeitsarchitektur,Chronotyp_Morgen,FALSE,FALSE,"Am frühen Morgen fällt es mir leicht, mich zu konzentrieren.",5
A9,Aufmerksamkeitsarchitektur,Chronotyp_Abend,FALSE,FALSE,"Am späten Abend fällt es mir leicht, mich zu konzentrieren.",2
A10,Aufmerksamkeitsarchitektur,Mikropausenbedarf,TRUE,TRUE,"In längeren Lernphasen brauche ich häufig kurze Mikropausen (zum Beispiel aufstehen, dehnen, kurz bewegen).",3
A11,Aufmerksamkeitsarchitektur,Selbstmonitoring_Konzentration,TRUE,FALSE,"Ich merke relativ früh, wenn meine Konzentration nachlässt.",5
A12,Aufmerksamkeitsarchitektur,Fokus_in_Stresssituationen,TRUE,FALSE,Ich kann mich auch in unstrukturierten Situationen (zum Beispiel kurz vor Prüfungen) gut fokussieren.,3
A13,Aufmerksamkeitsarchitektur,Chronotyp_Schlafzeit_Wochentag,FALSE,FALSE,An Tagen mit Lehrveranstaltungen gehe ich typischerweise vor 23:00 Uhr schlafen.,5
A14,Aufmerksamkeitsarchitektur,Chronotyp_Aufwachzeit_Wochentag,FALSE,FALSE,An Tagen mit Lehrveranstaltungen wache ich ohne Wecker vor 7:00 Uhr auf.,4
A15,Aufmerksamkeitsarchitektur,Chronotyp_Leistungshoch_vormittag,FALSE,FALSE,Meine mentale Leistungsfähigkeit ist zwischen 8:00 und 12:00 Uhr am höchsten.,5
A16,Aufmerksamkeitsarchitektur,Chronotyp_Leistungshoch_abend,FALSE,FALSE,Meine mentale Leistungsfähigkeit ist zwischen 19:00 und 23:00 Uhr am höchsten.,2
S1,Sensorische Verarbeitung,Lärmempfindlichkeit,TRUE,FALSE,In lauten oder hektischen Umgebungen fühle ich mich schnell überreizt.,5
S2,Sensorische Verarbeitung,Lichtempfindlichkeit,TRUE,FALSE,Grelle Beleuchtung oder flackernde Bildschirme stören mich beim Lernen.,5
S3,Sensorische Verarbeitung,Detailwahrnehmung,TRUE,FALSE,Ich nehme kleine Details in meiner Umgebung schnell wahr.,5
S4,Sensorische Verarbeitung,Ordnung_Umgebung,TRUE,FALSE,"Wenn es um mich herum unordentlich ist, fällt mir konzentriertes Arbeiten schwer.",5
S5,Sensorische Verarbeitung,Erholung_nach_Reiz,TRUE,FALSE,"Nach einem Tag mit vielen sensorischen Eindrücken (Lärm, Menschen, Medien) brauche ich deutlich mehr Erholung als sonst.",5
S6,Sensorische Verarbeitung,Sensation_Seeking,TRUE,TRUE,"Ich suche bewusst Umgebungen mit viel Trubel und Reizen, weil ich mich dort wacher fühle.",1
S7,Sensorische Verarbeitung,Musik_Positive_Wirkung,TRUE,TRUE,Hintergrundmusik beim Lernen empfinde ich meistens als angenehm.,2
S8,Sensorische Verarbeitung,Musik_Ablenkung,TRUE,FALSE,Hintergrundmusik beim Lernen lenkt mich meistens ab.,5
S9,Sensorische Verarbeitung,Coping_Strategien_Reize,TRUE,FALSE,"Ich habe Strategien, um unerwünschte Reize auszublenden (zum Beispiel Kopfhörer, bestimmter Lernort).",5
S10,Sensorische Verarbeitung,Neue_Reize_Positive_Wirkung,TRUE,TRUE,"Neue, intensive sensorische Eindrücke (zum Beispiel neue Orte, Geräusche) inspirieren mich beim Lernen.",2
S11,Sensorische Verarbeitung,Multisensory_Ermüdung,TRUE,FALSE,Mehrere parallele Sinnesreize (zum Beispiel Video mit Text und zusätzlichen Chat-Nachrichten) machen mich schnell müde.,5
S12,Sensorische Verarbeitung,Umgebungsgestaltung_aktiv,TRUE,FALSE,"Ich gestalte meine Lernumgebung bewusst (Licht, Temperatur, Ordnung), um optimal arbeiten zu können.",5
S13,Sensorische Verarbeitung,Multisensorische_Lernpräferenz,TRUE,FALSE,"Ich lerne am besten, wenn Lerninhalte multimodal aufbereitet sind (z. B. Video mit Notizen und Diskussion).",3
SO1,Soziale Energetik,Soziale_Aufladung,TRUE,FALSE,Nach längeren sozialen Situationen fühle ich mich eher aufgeladen als erschöpft.,1
SO2,Soziale Energetik,Alleinlernen_Präferenz,TRUE,TRUE,Ich lerne lieber allein als in Gruppen.,5
SO3,Soziale Energetik,Gruppenarbeit_Energieminus,TRUE,TRUE,"Gruppenarbeit kostet mich mehr Energie, als sie mir gibt.",5
SO4,Soziale Energetik,Diskussion_Nutzen,TRUE,FALSE,Ich profitiere fachlich stark von Diskussionen mit anderen.,3
SO5,Soziale Energetik,Erholung_Alleinsein,TRUE,TRUE,Nach einem intensiven Lerntag erhole ich mich am besten allein.,5
SO6,Soziale Energetik,Kleine_vertraute_Gruppen,TRUE,FALSE,"Ich arbeite am liebsten in kleinen, vertrauten Gruppen (zwei bis drei Personen).",4
SO7,Soziale Energetik,Zurückhaltung_große_Gruppen,TRUE,TRUE,"In großen Gruppen (zum Beispiel Seminar, Online-Meeting) halte ich mich eher im Hintergrund.",5
SO8,Soziale Energetik,Live_Sitzungen_Motivation,TRUE,FALSE,Live-Sitzungen (synchron) motivieren mich stärker als aufgezeichnete Inhalte.,2
