item_code,dimension,facet,include_in_main_scale,reverse_scored,item_text,scale_1_5
A1,Aufmerksamkeitsarchitektur,Fokusdauer,TRUE,FALSE,"Ich kann beim Lernen meist 45 Minuten oder länger bei einer Aufgabe bleiben, ohne die Konzentration deutlich zu verlieren.",
A2,Aufmerksamkeitsarchitektur,Distraktibilität,TRUE,TRUE,Ich werde durch kleine Geräusche oder Bewegungen im Raum schnell aus dem Konzept gebracht.,
A3,Aufmerksamkeitsarchitektur,Wiedereinstieg,TRUE,FALSE,Nach einer Unterbrechung finde ich rasch wieder in die Aufgabe zurück.,
A4,Aufmerksamkeitsarchitektur,Arbeitsstil_Sequenziell,TRUE,FALSE,Ich arbeite lieber nacheinander an Aufgaben als zwischen mehreren Aufgaben hin- und herzuwechseln.,
A5,Aufmerksamkeitsarchitektur,Task_Switching_Energie,TRUE,TRUE,"Wenn ich häufig zwischen Aufgaben wechseln muss, kostet mich das spürbar Energie.",
A6,Aufmerksamkeitsarchitektur,Pausenplanung,TRUE,FALSE,Ich plane meine Pausen beim Lernen bewusst ein.,
A7,Aufmerksamkeitsarchitektur,Flow_Neigung,TRUE,FALSE,"Wenn ich einmal im Flow bin, vergesse ich leicht die Zeit.",
A8,Aufmerksamkeitsarchitektur,Chronotyp_Morgen,FALSE,FALSE,"Am frühen Morgen fällt es mir leicht, mich zu konzentrieren.",
A9,Aufmerksamkeitsarchitektur,Chronotyp_Abend,FALSE,FALSE,"Am späten Abend fällt es mir leicht, mich zu konzentrieren.",
A10,Aufmerksamkeitsarchitektur,Mikropausenbedarf,TRUE,TRUE,"In längeren Lernphasen brauche ich häufig kurze Mikropausen (zum Beispiel aufstehen, dehnen, kurz bewegen).",
A11,Aufmerksamkeitsarchitektur,Selbstmonitoring_Konzentration,TRUE,FALSE,"Ich merke relativ früh, wenn meine Konzentration nachlässt.",
A12,Aufmerksamkeitsarchitektur,Fokus_in_Stresssituationen,TRUE,FALSE,Ich kann mich auch in unstrukturierten Situationen (zum Beispiel kurz vor Prüfungen) gut fokussieren.,
A13,Aufmerksamkeitsarchitektur,Chronotyp_Schlafzeit_Wochentag,FALSE,FALSE,"An Tagen mit Lehrveranstaltungen gehe ich typischerweise vor 23:00 Uhr schlafen.",
A14,Aufmerksamkeitsarchitektur,Chronotyp_Aufwachzeit_Wochentag,FALSE,FALSE,"An Tagen mit Lehrveranstaltungen wache ich ohne Wecker vor 7:00 Uhr auf.",
A15,Aufmerksamkeitsarchitektur,Chronotyp_Leistungshoch_vormittag,FALSE,FALSE,"Meine mentale Leistungsfähigkeit ist zwischen 8:00 und 12:00 Uhr am höchsten.",
